Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
DropViz_PC_level2	Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.4_8	15002	0.018102	0.050481	0.0081077	0.012794	1	1
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Cartpt.5_3	15002	0.017536	0.048228	0.0081662	0.01589	1	1
DropViz_PC_level2	Neuron_Slc17a7-Slc17a6_Tshz2-Npnt.6_6	15002	0.023396	0.064632	0.011088	0.017438	1	1
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Cplx3.1_1	15002	0.018161	0.050939	0.0089313	0.021014	1	1
DropViz_PC_level2	Neuron_Gad1Gad2_Synpr-Pcdh11x.4_9	15002	0.015914	0.044505	0.0078982	0.02197	1	1
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Fos.3_5	15002	0.018756	0.052153	0.009374	0.022715	1	1
DropViz_PC_level2	Neuron_Slc17a7-Slc17a6_Tshz2-Cabp7.6_5	15002	0.01997	0.05509	0.010337	0.026699	1	1
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl-Cadm2.2_8	15002	0.011717	0.033446	0.0060653	0.026704	1	1
DropViz_PC_level2	Neuron_Slc17a7-Slc17a6_Tshz2-Prlr.6_7	15002	0.016319	0.046052	0.0087787	0.031532	1	1
DropViz_PC_level2	Neuron_Sc17a7_Tshz2-Smoc1.2_3	15002	0.015671	0.043904	0.0091157	0.042804	1	1
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Tshz2-Syt2.3_8	15002	0.014196	0.039524	0.0085238	0.047926	1	1
DropViz_PC_level2	Neuron_Gad1Gad2_Cplx3-Egln3.4_3	15002	0.011046	0.031511	0.0074722	0.06967	1	1
