Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	Hippocampal_CA4	16693	0.0095099	0.023891	0.0065636	0.073695	1	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	CGE_interneuron	16693	0.014801	0.02738	0.010538	0.080105	1	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	Hippocampal_CA1_3	16693	0.008487	0.019063	0.0078679	0.14037	1	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	MGE_interneuron	16693	0.0070386	0.013846	0.010068	0.24224	1	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	Oligodendrocyte	16693	0.0036846	0.0056357	0.0071776	0.30386	1	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	Upper_rhombic_lip	16693	0.0014549	0.0032649	0.0033635	0.33267	1	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	Oligodendrocyte_precursor	16693	0.0026514	0.0048237	0.0084254	0.3765	1	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	Deep_layer_corticothalamic_and_6b	16693	-2.2592e-05	-5.5258e-05	0.0060806	0.50148	1	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	Committed_oligodendrocyte_precursor	16693	-0.00070032	-0.0012937	0.0076599	0.53642	1	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	Ependymal	16693	-0.00070085	-0.0012532	0.0056115	0.5497	1	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	Astrocyte	16693	-0.0012463	-0.0020988	0.0073168	0.56762	1	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	Splatter	16693	-0.003286	-0.006089	0.0078627	0.66199	1	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	Miscellaneous	16693	-0.0052092	-0.0065513	0.0072455	0.76391	1	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	Vascular	16693	-0.015859	-0.022664	0.0074347	0.98354	1	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	Microglia	16693	-0.014831	-0.021294	0.0068694	0.98457	1	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	Fibroblast	16693	-0.026786	-0.035539	0.0080855	0.99954	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Deep_layer_intratelencephalic	16784	0.018144	0.040307	0.010388	0.040363	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Upper_layer_intratelencephalic	16784	0.015335	0.032243	0.010006	0.062695	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Eccentric_medium_spiny_neuron	16784	0.006177	0.013751	0.0045799	0.088724	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Upper_rhombic_lip	16784	0.0051652	0.011676	0.0038591	0.090387	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Hippocampal_dentate_gyrus	16784	0.0084386	0.017469	0.0093918	0.18446	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Committed_oligodendrocyte_precursor	16784	0.0069433	0.0097441	0.0085382	0.20806	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Amygdala_excitatory	16784	0.0038467	0.0092138	0.0048094	0.21191	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Hippocampal_CA1_3	16784	0.0040037	0.0093308	0.0083999	0.31681	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Oligodendrocyte	16784	0.0031059	0.003878	0.0082752	0.35371	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Oligodendrocyte_precursor	16784	0.0033174	0.0047547	0.0095063	0.36356	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	LAMP5_LHX6_and_Chandelier	16784	0.0031788	0.0069463	0.0097375	0.37205	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	CGE_interneuron	16784	0.0034961	0.0069942	0.012551	0.3903	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	MGE_interneuron	16784	0.0023345	0.0050779	0.010609	0.41292	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Medium_spiny_neuron	16784	0.00015329	0.00040342	0.0041835	0.48539	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Hippocampal_CA4	16784	-0.00083804	-0.0018282	0.0078291	0.54262	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Deep_layer_corticothalamic_and_6b	16784	-0.0011101	-0.0025974	0.0096975	0.54557	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Ependymal	16784	-0.0015515	-0.0022997	0.0063178	0.59699	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Astrocyte	16784	-0.0037676	-0.0052323	0.0082603	0.67584	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Miscellaneous	16784	-0.0055652	-0.0073441	0.011983	0.67882	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Deep_layer_near_projecting	16784	-0.0044197	-0.0096452	0.0086256	0.69581	1	1
65_Siletti_Hippocampus.HiB-RostralCA1-CA3_Human_2022_level2	Splatter	16784	-0.014691	-0.029629	0.011164	0.9059	1	1
