Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	Marginal.P	PS
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Npnt.3_10	990	15085	0.021233	0.05929	0.0090291	0.009353	0.0073841	0.951844420994553
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Nefm.5_2	991	15085	0.019909	0.054344	0.0078849	0.0057904	0.0017772	0.813482517313719
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Npnt.3_10	991	15085	0.017919	0.050036	0.0091679	0.025329	0.0073841	0.748876547305942
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Cartpt.5_3	992	15085	0.018945	0.052104	0.0080456	0.0092759	0.0031923	0.814394388209853
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Npnt.3_10	992	15085	0.018417	0.051427	0.0091519	0.022101	0.0073841	0.776650648687221
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Dditl.3_2	993	15085	0.016704	0.046831	0.010273	0.051978	0.0034503	0.521570177379024
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Tcerg1l.3_4	993	15085	0.016459	0.04556	0.011936	0.083977	0.0052267	0.471492963813305
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Dditl.3_2	994	15085	0.016927	0.047456	0.010818	0.058833	0.0034503	0.499718714436628
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Pvalb.3_9	994	15085	0.01206	0.033417	0.010761	0.13122	0.006735	0.40614046023115
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Dditl.3_2	995	15085	0.021999	0.061676	0.0088827	0.0066367	0.0034503	0.884614617405947
DropViz_PC_level2	Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.4_8	995	15085	0.018452	0.051461	0.0078572	0.0094333	0.0048746	0.875987415525043
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Nefm.5_2	996	15085	0.018805	0.05133	0.0079741	0.0091871	0.0017772	0.740591369388353
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Dditl.3_2	996	15085	0.01898	0.053212	0.0090886	0.018392	0.0034503	0.70482134537809
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Cartpt.5_3	997	15085	0.018044	0.049626	0.0081005	0.012965	0.0031923	0.756132166755194
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Dditl.3_2	997	15085	0.019834	0.055606	0.0090325	0.014058	0.0034503	0.752221278102484
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Tcerg1l.3_4	998	15085	0.016728	0.046306	0.01449	0.12416	0.0052267	0.397067773063638
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Pvalb.3_9	998	15085	0.011658	0.032302	0.012405	0.17368	0.006735	0.350077521061419
DropViz_PC_level2	Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.4_8	999	15085	0.019262	0.053719	0.0078345	0.0069805	0.0048746	0.932550418779388
