Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
DropViz_SN_level2	Polydendrocyte_Tnr_Opalin.5_3	15085	-0.0073878	-0.020535	0.0048179	0.9374	0.99999	1
DropViz_SN_level2	Endothelial_Stalk_Flt1_Car4.12_3	15085	-0.0082828	-0.022586	0.0047049	0.96082	0.99999	1
DropViz_SN_level2	Polydendrocyte_Tnr_Cspg5-Dad1.6_2	15085	-0.009088	-0.026507	0.0048691	0.969	0.99999	1
DropViz_SN_level2	Astrocyte_Gja1_Myoc.7_1	15085	-0.0091526	-0.025361	0.0046816	0.9747	0.99999	1
DropViz_SN_level2	Astrocyte_Gja1_Cst3.7_2	15085	-0.013119	-0.033992	0.0059395	0.9864	0.99999	1
DropViz_SN_level2	Endothelial_Stalk_Flt1_Cdkn1c.12_1	15085	-0.011515	-0.031359	0.0046353	0.9935	0.99999	1
DropViz_SN_level2	Endothelial_Tip_Dcn_Ifitm1.14_2	15085	-0.0096017	-0.026951	0.0037793	0.99446	0.99999	1
DropViz_SN_level2	Endothelial_Tip_Dcn_Mgp.14_1	15085	-0.011478	-0.032462	0.0038995	0.99837	0.99999	1
DropViz_SN_level2	Mural_Rgs5Acta2_Cbr2.13_4	15085	-0.01209	-0.033879	0.0039776	0.99881	0.99999	1
DropViz_SN_level2	Mural_Rgs5Acta2_Kcnj8.13_2	15085	-0.0090126	-0.027907	0.0029408	0.99891	0.99999	1
DropViz_SN_level2	Endothelial_Tip_Dcn_Alcam.14_3	15085	-0.0081641	-0.024251	0.0026406	0.999	0.99999	1
DropViz_SN_level2	Mural_Rgs5Acta2_Cd9.13_3	15085	-0.016739	-0.045171	0.0046077	0.99986	0.99999	1
DropViz_SN_level2	Mural_Rgs5Acta2_Rgs5.13_1	15085	-0.017271	-0.047608	0.0044521	0.99995	0.99999	1
DropViz_SN_level2	Mural_Rgs5Acta2_Fos.13_5	15085	-0.015713	-0.045384	0.003607	0.99999	0.99999	1
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Sla.1_4	15085	0.041958	0.11628	0.010616	3.8901e-05	0.002232775	0.00129288617647059
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Nefm.1_8	15085	0.038695	0.10724	0.010459	0.00010837	0.002232775	0.00278313863636364
DropViz_PC_level2	Neuron_Slc17a7-Slc17a6_Calb1-Rorb-Il1rapl2.2_13	15085	0.041854	0.11522	0.011456	0.0001299	0.002232775	0.00280649137931034
