Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Etv1.3_2	15078	-0.0079933	-0.02255	0.0081442	0.83681	1	1
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Slc30a3.3_5	15078	-0.0088681	-0.02442	0.0087332	0.84505	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Cplx3-Reln.1_2	15078	-0.0087829	-0.024255	0.008578	0.84705	1	1
DropViz_FC_level2	Neuron_Slc17a7_Parm1_Ndnf.7_1	15078	-0.0087729	-0.02427	0.008396	0.85195	1	1
DropViz_FC_level2	Neuron_Slc17a7_Nptxr-Deptor.6_4	15078	-0.010371	-0.028246	0.0098942	0.85271	1	1
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Lypd1.3_7	15078	-0.010152	-0.027925	0.0093403	0.86144	1	1
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Kit.3_12	15078	-0.010716	-0.029631	0.0094881	0.87063	1	1
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Fos.3_13	15078	-0.010008	-0.027916	0.0087548	0.87349	1	1
DropViz_FC_level2	Polydendrocyte_Tnr_Bmp4-Gpr17.10_6	15078	-0.0060648	-0.017207	0.0052661	0.87526	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Sst-Calb2.2_3	15078	-0.0089423	-0.025219	0.0069679	0.90031	1	1
DropViz_FC_level2	Neuron_Slc17a7_Parm1_Nnat.7_2	15078	-0.010921	-0.030435	0.0081181	0.91072	1	1
DropViz_FC_level2	Neuron_Slc17a7_Nptxr-Fos.6_5	15078	-0.012476	-0.034392	0.008718	0.92377	1	1
DropViz_FC_level2	Neuron_Slc17a7_Parm1_Lsamp.7_3	15078	-0.013552	-0.037028	0.0091506	0.93069	1	1
DropViz_FC_level2	Neuron_Gad1Gad2_Cplx3-Crim1.1_9	15078	-0.010209	-0.029161	0.0066773	0.93684	1	1
DropViz_FC_level2	NeuronSlc17a7-Slc17a6_Syt6-Nnat.3_8	15078	-0.017479	-0.048313	0.0093265	0.96954	1	1
DropViz_FC_level2	Neuron_Slc17a6-Slc17a7-Slc17a8_Fezf2_Slc17a8.4_1	15078	-0.018644	-0.051204	0.0093902	0.97644	1	1
DropViz_FC_level2	Neuron_Slc17a6-Slc17a7_Nr4a2.5_1	15078	-0.017841	-0.048813	0.0089136	0.97732	1	1
DropViz_FC_level2	Neuron_Slc17a7-Slc17a8_Syt6-Cplx3.3_10	15078	-0.021406	-0.059539	0.0082695	0.99518	1	1
DropViz_GP_level2	Endothelial_Stalk_Flt1_Angpt2.7_6	15078	0.008206	0.022602	0.0045671	0.036198	1	1
